Term 1,Term 2,Error Degree,Weight,Identity Set ID,,
http://dbpedia.org/resource/Yamaha_Virago,http://rdf.freebase.com/ns/m/03zc0n,0.88,1,22697159,,
http://dbpedia.org/resource/John_Garth,http://rdf.freebase.com/ns/m/0411lq4,0.88,1,19510733,,
http://dbpedia.org/resource/Prilep-Bitola_dialect,http://rdf.freebase.com/ns/m/0412kt7,0.88,1,1189996,,
http://dbpedia.org/resource/India_Cements,http://rdf.freebase.com/ns/m/0416jhb,0.88,1,19281214,,
http://dbpedia.org/resource/Drone_music,http://rdf.freebase.com/ns/m/052smk,0.88,1,5864476,,
http://dbpedia.org/resource/Faten_Hamama,http://rdf.freebase.com/ns/m/05757k,0.88,1,426424,,
http://dbpedia.org/resource/I_Lost_It,http://rdf.freebase.com/ns/m/05b4wt3,0.88,1,19242243,,
http://dbpedia.org/resource/Vincenzo_Iaquinta,http://rdf.freebase.com/ns/m/05z1yg,0.88,1,436761,,
http://dbpedia.org/resource/Robert_Wangila,http://rdf.freebase.com/ns/m/06sprg,0.88,1,21288384,,
http://dbpedia.org/resource/Balance_spring,http://rdf.freebase.com/ns/m/0803v_,0.88,1,582253,,
http://dbpedia.org/resource/Charles_Boissevain,http://rdf.freebase.com/ns/m/09v2f3f,0.88,1,17820733,,
http://dbpedia.org/resource/Billy_Keikeya,http://rdf.freebase.com/ns/m/0bkp9_,0.88,1,16620052,,
http://dbpedia.org/resource/Ramesh_Bais,http://rdf.freebase.com/ns/m/0g2m7k,0.88,1,21167809,,
http://dbpedia.org/resource/Renato_Tosio,http://rdf.freebase.com/ns/m/0gmcmy,0.88,1,9912898,,
http://dbpedia.org/resource/Trip_Lee,http://rdf.freebase.com/ns/m/02rw29w,0.89,1,22298490,,
http://dbpedia.org/resource/La_Puebla_del_R%C3%ADo,http://rdf.freebase.com/ns/m/02z7cb5,0.89,1,110146,,
http://dbpedia.org/resource/Gundlach_Bundschu,http://rdf.freebase.com/ns/m/03d5tkx,0.89,1,18971279,,
http://dbpedia.org/resource/Sentinelese_people,http://rdf.freebase.com/ns/m/04tlr6,0.89,1,4589574,,
http://dbpedia.org/resource/Moveable_feast,http://rdf.freebase.com/ns/m/0550j,0.89,1,4859316,,
http://dbpedia.org/resource/Bures_St._Mary,http://rdf.freebase.com/ns/m/095gby,0.89,1,16783636,,
http://dbpedia.org/resource/George_Ferrers,http://rdf.freebase.com/ns/m/0gz2_c,0.89,1,18817120,,
http://dbpedia.org/resource/Kriszti%C3%A1n_N%C3%A9meth,http://rdf.freebase.com/ns/m/02q8lq6,0.9,1,5955476,,
http://dbpedia.org/resource/Information_graphics,http://rdf.freebase.com/ns/m/03xc_j,0.9,1,532111,,
http://dbpedia.org/resource/%C5%A0krdlovice,http://rdf.freebase.com/ns/m/07kffll,0.9,1,5818724,,
http://dbpedia.org/resource/Daughter,http://rdf.freebase.com/ns/m/029wnx,0.91,1,9114,,
http://dbpedia.org/resource/Hadersdorf-Kammern,http://rdf.freebase.com/ns/m/02qxcmy,0.91,1,19012422,,
http://dbpedia.org/resource/Vailly-sur-Aisne,http://rdf.freebase.com/ns/m/03m7qxt,0.91,1,4707747,,
http://dbpedia.org/resource/Alcamenes,http://rdf.freebase.com/ns/m/0r4g,0.91,1,4721631,,
http://dbpedia.org/resource/Karl_Ludwig_Hencke,http://rdf.freebase.com/ns/m/02sbyh,0.92,1,792597,,
http://dbpedia.org/resource/Montlevon,http://rdf.freebase.com/ns/m/03m7nh2,0.92,1,4704144,,
http://dbpedia.org/resource/Northanger_Abbey,http://rdf.freebase.com/ns/m/0bdfv,0.92,1,1176765,,
http://dbpedia.org/resource/Salasco,http://rdf.freebase.com/ns/m/0g8r69,0.92,1,1134952,,
http://dbpedia.org/resource/Fuentespalda,http://rdf.freebase.com/ns/m/02z9qxc,0.93,1,106118,,
http://dbpedia.org/resource/Botany_Bay,http://rdf.freebase.com/ns/m/07hyq_,0.93,1,6859,,
http://dbpedia.org/resource/Mount_Athos,http://rdf.freebase.com/ns/m/014wrg,0.94,1,6066,,
http://dbpedia.org/resource/Harrow_School,http://rdf.freebase.com/ns/m/019vsw,1,1,52534,,
